ENSMUSP00000029277,Spata5
ENSMUSP00000079356,Hist1h1b H1f5
ENSMUSP00000013995,Abca4 Abcr
ENSMUSP00000033699,Flna Fln Fln1
ENSMUSP00000053101,Ppp3ca Calna
ENSMUSP00000029773,Cnn3
ENSMUSP00000031229,Rufy3 D5Bwg0860e Ripx
ENSMUSP00000083281,Ap2s1 Ap17 Claps2
ENSMUSP00000002790,Cse1l Xpo2
ENSMUSP00000028610,Cat Cas-1 Cas1
ENSMUSP00000093965,Ganab G2an Kiaa0088
ENSMUSP00000021930,Sfxn1 F
ENSMUSP00000049007,Ctnna1 Catna1
ENSMUSP00000065770,Ilf3
ENSMUSP00000071720,Camk2g
ENSMUSP00000108190,Dpy30
ENSMUSP00000053431,Vat1l Kiaa1576
ENSMUSP00000068260,Cap1 Cap
ENSMUSP00000036025,Pgm5
ENSMUSP00000007216,Ap2m1 Clapm1
ENSMUSP00000052968,Lenep Lep503
ENSMUSP00000014457,Cox6c
ENSMUSP00000021332,Fkbp3 Fkbp25
ENSMUSP00000005234,Wdr1
ENSMUSP00000007959,Rhoa Arha Arha2
ENSMUSP00000024974,Hagh
ENSMUSP00000025956,Pde6c
ENSMUSP00000033662,Pdha1 Pdha-1
ENSMUSP00000061092,Mtap
ENSMUSP00000009003,Rala Ral Ral-a
ENSMUSP00000023043,Adsl Adl
ENSMUSP00000085494,Rtn3
ENSMUSP00000080854,Rpl5
ENSMUSP00000000137,Actr2 Arp2
ENSMUSP00000030642,Psmb2
ENSMUSP00000016771,Myh9
ENSMUSP00000083211,Nipsnap2 Gbas
ENSMUSP00000018887,Myh10
ENSMUSP00000084572,Vars Bat6 G7a Vars2
ENSMUSP00000050036,Cnrip1
ENSMUSP00000096549,Elavl1 Elra Hua
ENSMUSP00000004327,G6pdx G6pd G6pd-1
ENSMUSP00000026050,Gsto1 Gstx Gtsttl
ENSMUSP00000033269,Ctbp2
ENSMUSP00000003345,Amph Amph1
ENSMUSP00000063825,Pcx
ENSMUSP00000015361,Hmgb3 Hmg2a Hmg4
ENSMUSP00000040756,Atp6v1h
ENSMUSP00000054863,Pcbp1
ENSMUSP00000054634,Cdc42
ENSMUSP00000033198,Crym
ENSMUSP00000059587,Gja3
ENSMUSP00000037317,Stx3
ENSMUSP00000074392,Hsph1 Hsp105 Hsp110 Kiaa0201
ENSMUSP00000001148,Pcbp3
ENSMUSP00000005705,Trim28 Kap1 Krip1 Tif1b
ENSMUSP00000119603,Phb
ENSMUSP00000025541,Gnaq
ENSMUSP00000060346,Dlst
ENSMUSP00000016033,Lta4h
ENSMUSP00000029610,Hadh Hadhsc Mschad Schad
ENSMUSP00000033873,Erlin2 Spfh2
ENSMUSP00000044502,Efhd2
ENSMUSP00000023709,Krt5 Krt2-5
ENSMUSP00000110157,Gls
ENSMUSP00000033901,Naxd CARKD
ENSMUSP00000099584,Arpc3
ENSMUSP00000001845,Capns1 mCG_21569
ENSMUSP00000026839,Prps2
ENSMUSP00000027810,Fh Fh1
ENSMUSP00000087756,Myh11
ENSMUSP00000000804,Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh
ENSMUSP00000022960,Eif3e Eif3s6 Int6
ENSMUSP00000000285,Dgke
ENSMUSP00000030491,Cmpk1 CMPK CMPK1 mCG_16168
ENSMUSP00000022380,Psmc6 Sug2
ENSMUSP00000023994,Serping1 C1nh
ENSMUSP00000081782,Ipo7 Ranbp7
ENSMUSP00000020939,Nrcam Kiaa0343
ENSMUSP00000019382,Tecr Gpsn2
ENSMUSP00000036181,Myo6
ENSMUSP00000043580,Alg2 MNCb-5081
ENSMUSP00000004396,Atp6v1f Atp6s14 Vatf
ENSMUSP00000031788,Hibadh
ENSMUSP00000053371,Cltb
ENSMUSP00000020263,Hnrnph3 mCG_11326
ENSMUSP00000029353,Kpna4
ENSMUSP00000081239,Hnrnpr
ENSMUSP00000088349,Selenbp1 Lpsb
